Label,A (Total),B (Gen Pop Sample),C (MVPD Users),D (vMVPD Users),E (Male),F (Female)
,,,,,,
#page,,,,,,
PEERLESS INSIGHTS,,,,,,
DTV-010 Feature Prioritization,,,,,,
August 2025,,,,,,
Table 1,,,,,,
Overall Satisfaction,,,,,,
Base: All Respondents,,,,,,
,,,,,,
,,,,,,
,Total,Gen Pop Sample,MVPD Users,vMVPD Users,Male,Female
,A,B,C,D,E,F
Base,3439,2620,1541,1408,1271,1349
18-34,955,773,327,391,389,384
,27.77%,29.50%,21.22%,27.77%,30.61%,28.47%
35-54,1121,845,471,550,419,426
,32.60%,32.25%,30.56%,39.06%,32.97%,31.58%
55+,1363,1002,743,467,463,539
,39.63%,38.24%,48.22%,33.17%,36.43%,39.96%
No Answer,1363,1002,743,467,463,539
,39.63%,38.24%,48.22%,33.17%,36.43%,39.96%
Sigma,3439,2620,1541,1408,1271,1349
,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%
Mean,48.62,48.09,52.20,46.44,47.51,48.64
Median,47.00,47.00,53.00,43.00,45.00,48.00
Std.err,16.77,16.83,16.77,15.73,17.05,16.60
Std.dev,0.29,0.33,0.43,0.42,0.48,0.45
,,,,,,
#page,,,,,,
PEERLESS INSIGHTS,,,,,,
DTV-010 Feature Prioritization,,,,,,
August 2025,,,,,,
Table 2,,,,,,
S5. You mentioned that you subscribe to a cable or satellite TV provider. Which of the following do you subscribe to?,,,,,,
Base: SUBSCRIBE TO CABLE / SATELLITE PROVIDER ,,,,,,
,,,,,,
,,,,,,
,Total,Gen Pop Sample,MVPD Users,vMVPD Users,Male,Female
,A,B,C,D,E,F
Base,1573,2620,1541,1408,1271,1349
All not DIRECTV,1092,952,1092,355,509,443
,69.42%,36.34%,70.86%,25.21%,40.05%,32.84%
Altice/Suddenlink/Cablevision,31,29,31,9,19,10
,1.97%,1.11%,2.01%,0.64%,1.49%,0.74%
Charter/Spectrum,325,289,325,94,148,141
,20.66%,11.03%,21.09%,6.68%,11.64%,10.45%
COX,70,60,70,29,36,24
,4.45%,2.29%,4.54%,2.06%,2.83%,1.78%
CenturyLink/Qwest,2,2,2,1,1,1
,0.13%,0.08%,0.13%,0.07%,0.08%,0.07%
Comcast/Xfinity,341,293,341,117,163,130
,21.68%,11.18%,22.13%,8.31%,12.82%,9.64%
DIRECTV (satellite),464,133,432,202,74,59
,29.50%,5.08%,28.03%,14.35%,5.82%,4.37%
DISH Network (satellite),115,100,115,33,52,48
,7.31%,3.82%,7.46%,2.34%,4.09%,3.56%
Frontier,8,5,8,4,3,2
,0.51%,0.19%,0.52%,0.28%,0.24%,0.15%
Verizon FiOS,97,80,97,41,45,35
,6.17%,3.05%,6.29%,2.91%,3.54%,2.59%
Mediacom,11,10,11,4,6,4
,0.70%,0.38%,0.71%,0.28%,0.47%,0.30%
Other,92,84,92,23,36,48
,5.85%,3.21%,5.97%,1.63%,2.83%,3.56%
None of the above,17,15,0,6,8,7
,1.08%,0.57%,0.00%,0.43%,0.63%,0.52%
No Answer,17,1520,17,845,680,840
,1.08%,58.02%,1.10%,60.01%,53.50%,62.27%
Sigma,1573,2620,1541,1408,1271,1349
,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%
